Type,Name,Difference,Url1,Url2,Value1,Value2
"Entity","okn_paymenttransaction","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymenttransaction",""
"Entity","okn_paymentgatewaycardtype","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymentgatewaycardtype",""
"Entity","okn_autonumber","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_autonumber",""
"Entity","new_testentity2","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testentity2",""
"Entity","new_testpaymenttyperecurrence","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testpaymenttyperecurrence",""
"Entity","okn_paymentgateway","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymentgateway",""
"Entity","okn_paymenttypeconfigurationentryfield","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymenttypeconfigurationentryfield",""
"Entity","jmcg_testentity","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","jmcg_testentity",""
"Entity","okn_paymenterrorlog","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymenterrorlog",""
"Entity","new_testentity1","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testentity1",""
"Entity","new_testpaymenttypecontext","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testpaymenttypecontext",""
"Entity","new_testpaymenttype","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testpaymenttype",""
"Entity","okn_workflowtask","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_workflowtask",""
"Entity","new_testentity3","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testentity3",""
"Entity","jmcg_testentitytwo","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","jmcg_testentitytwo",""
"Entity","okn_paymenttypeconfiguration","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymenttypeconfiguration",""
"Entity","okn_paymentsettings","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymentsettings",""
"Entity","new_testentitysolutionadd","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","new_testentitysolutionadd",""
"Entity","jmcg_testentitythree","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","jmcg_testentitythree",""
"Entity","okn_paymenttoken","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","okn_paymenttoken",""
"Entity","jmcg_testnew","Only In VM TEST","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","jmcg_testnew",""
"Entity","jmcg_workflowtask","Only In Workflow Scheduler","","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","jmcg_workflowtask"
"Entity","jmcg_wstestsettings","Only In Workflow Scheduler","","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","","jmcg_wstestsettings"
"Entity","convertrule","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Defines the settings for automatic case creation.","For internal use only."
"Entity","routingruleitem","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Please provide the description for entity","For internal use only."
"Entity","sla","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Contains information about the tracked service-level KPIs for cases that belong to different customers.","For internal use only."
"Entity","entitlementtemplatechannel","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Contains predefined support terms for a channel to create entitlements for customers.","For internal use only."
"Entity","entitlement","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Defines the amount and type of support a customer should receive.","For internal use only."
"Entity","convertruleitem","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Defines the individual conditions required for creating case automatically.","For internal use only."
"Entity","routingrule","Different Description","http://qa2012/TEST/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","http://qa2012/WorkflowScheduler/tools/solution/edit.aspx?id=fd140aaf-4df4-11dd-bd17-0019b9312238","Define Routing Rule to route cases to right people at the right time","For internal use only."
